timestamp,frame_number,time_seconds,ball_center_x,ball_center_y,ball_x1,ball_y1,ball_x2,ball_y2,ball_detected,player_1_center_x,player_1_center_y,player_1_x1,player_1_y1,player_1_x2,player_1_y2,player_1_width,player_1_height,player_1_detected,player_2_center_x,player_2_center_y,player_2_x1,player_2_y1,player_2_x2,player_2_y2,player_2_width,player_2_height,player_2_detected,court_single_line_width_meters,court_double_line_width_meters,court_half_court_height_meters,court_service_line_width_meters,court_double_alley_difference_meters,court_no_mans_land_height_meters,court_pixels_per_meter_x,court_pixels_per_meter_y,court_width_pixels,court_height_pixels,player_1_court_x_relative,player_1_court_y_relative,player_1_movement_x_pixels,player_1_movement_y_pixels,player_1_distance_pixels,player_1_distance_meters,player_1_speed_ms,player_1_speed_kmh,player_1_court_region,player_2_court_x_relative,player_2_court_y_relative,player_2_movement_x_pixels,player_2_movement_y_pixels,player_2_distance_pixels,player_2_distance_meters,player_2_speed_ms,player_2_speed_kmh,player_2_court_region,ball_movement_x_pixels,ball_movement_y_pixels,ball_distance_pixels,ball_distance_meters,ball_speed_ms,ball_speed_kmh,ball_court_x_relative,ball_court_y_relative,ball_detection_rate,player_1_detection_rate,player_2_detection_rate,both_players_detected,all_objects_detected
2024-01-01 00:00:00.000000000,0,0.0,,,,,,,False,405.89117431640625,135.52610778808594,387.4237060546875,72.42877197265625,424.358642578125,198.62344360351562,36.9349365234375,126.19467163085938,True,,,,,,,,,False,8.23,10.97,11.88,6.4,1.37,5.48,40.838650865998176,14.14141414141414,448.0,336.0,0.9060070855276925,0.40335151127406527,,,0.0,0.0,0.0,0.0,service_area_far,,,,,0.0,0.0,0.0,0.0,unknown,,,0.0,0.0,0.0,0.0,,,0.31333333333333335,0.7133333333333334,0.66,False,False
2024-01-01 00:00:00.033330000,1,0.03333333333333333,903.8377990722656,626.7539978027344,895.4452514648438,618.047607421875,912.2303466796875,635.4603881835938,True,405.8390350341797,135.5496711730957,387.3572082519531,72.4734115600586,424.32086181640625,198.6259307861328,36.963653564453125,126.15251922607422,True,,,,,,,,,False,8.23,10.97,11.88,6.4,1.37,5.48,40.838650865998176,14.14141414141414,448.0,336.0,0.905890703201294,0.40342164039611816,-0.0521392822265625,0.023563385009765625,0.057216587317137184,0.0014010400956897208,0.04203120287069163,0.15131233033448985,service_area_far,,,,,0.0,0.0,0.0,0.0,unknown,,,0.0,0.0,0.0,0.0,2.0174950872148787,1.8653392791748047,0.31333333333333335,0.7133333333333334,0.66,False,False
2024-01-01 00:00:00.066660000,2,0.06666666666666667,884.7910766601562,648.7124633789062,873.9142456054688,638.284423828125,895.6679077148438,659.1405029296875,True,405.8742218017578,135.50910568237305,387.3397216796875,72.39904022216797,424.4087219238281,198.61917114257812,37.069000244140625,126.22013092041016,True,,,,,,,,,False,8.23,10.97,11.88,6.4,1.37,5.48,40.838650865998176,14.14141414141414,448.0,336.0,0.9059692450932094,0.4033009097689674,0.035186767578125,-0.04056549072265625,0.05369979190059212,0.001314925707922981,0.03944777123768943,0.14201197645568195,service_area_far,,,,,0.0,0.0,0.0,0.0,unknown,-19.046722412109375,21.958465576171875,29.06805540630255,0.7117780531409352,21.353341594228056,76.872029739221,1.974980081830706,1.930691855294364,0.31333333333333335,0.7133333333333334,0.66,False,False
2024-01-01 00:00:00.099990000,3,0.1,870.8759460449219,658.0734252929688,860.0900268554688,645.889404296875,881.661865234375,670.2574462890625,True,405.996337890625,135.28893280029297,387.383544921875,72.60673522949219,424.609130859375,197.97113037109375,37.2255859375,125.36439514160156,True,,,,,,,,,False,8.23,10.97,11.88,6.4,1.37,5.48,40.838650865998176,14.14141414141414,448.0,336.0,0.9062418256487165,0.4026456333342053,0.1221160888671875,-0.22017288208007812,0.2517706042485239,0.006165007876353364,0.18495023629060092,0.6658208506461634,service_area_far,,,,,0.0,0.0,0.0,0.0,unknown,-13.915130615234375,9.3609619140625,16.77076229619756,0.4106590678332305,12.319772034996914,44.351179325988895,1.9439195224217005,1.9585518609909784,0.31333333333333335,0.7133333333333334,0.66,False,False
2024-01-01 00:00:00.133320000,4,0.13333333333333333,,,,,,,False,405.96998596191406,135.41344451904297,387.3385925292969,72.639892578125,424.60137939453125,198.18699645996094,37.262786865234375,125.54710388183594,True,,,,,,,,,False,8.23,10.97,11.88,6.4,1.37,5.48,40.838650865998176,14.14141414141414,448.0,336.0,0.9061830043792725,0.4030162039257231,-0.0263519287109375,0.12451171875,0.12726976173807128,0.003116404656845183,0.09349213970535548,0.33657170293927974,service_area_far,,,,,0.0,0.0,0.0,0.0,unknown,,,0.0,0.0,0.0,0.0,,,0.31333333333333335,0.7133333333333334,0.66,False,False
2024-01-01 00:00:00.166650000,5,0.16666666666666666,,,,,,,False,405.96531677246094,135.50426864624023,387.3344421386719,72.75357818603516,424.59619140625,198.2549591064453,37.261749267578125,125.50138092041016,True,,,,,,,,,False,8.23,10.97,11.88,6.4,1.37,5.48,40.838650865998176,14.14141414141414,448.0,336.0,0.9061725820813861,0.40328651382809594,-0.004669189453125,0.09082412719726562,0.09094406748817792,0.0022269116525564995,0.06680734957669499,0.24050645847610194,service_area_far,,,,,0.0,0.0,0.0,0.0,unknown,,,0.0,0.0,0.0,0.0,,,0.31333333333333335,0.7133333333333334,0.66,False,False
2024-01-01 00:00:00.199980000,6,0.2,830.166015625,695.2445678710938,822.558349609375,687.126953125,837.773681640625,703.3621826171875,True,405.9721221923828,135.58501052856445,387.3601379394531,72.79610443115234,424.5841064453125,198.37391662597656,37.223968505859375,125.57781219482422,True,,,,,,,,,False,8.23,10.97,11.88,6.4,1.37,5.48,40.838650865998176,14.14141414141414,448.0,336.0,0.9061877727508545,0.403526817049299,0.006805419921875,0.08074188232421875,0.08102817597336769,0.001984105112562151,0.05952315337686453,0.2142833521567123,service_area_far,,,,,0.0,0.0,0.0,0.0,unknown,,,0.0,0.0,0.0,0.0,1.8530491420200892,2.0691802615211126,0.31333333333333335,0.7133333333333334,0.66,False,False
2024-01-01 00:00:00.233310000,7,0.23333333333333334,822.5815124511719,705.0232238769531,812.8359985351562,693.7373657226562,832.3270263671875,716.30908203125,True,405.7921142578125,135.59391021728516,387.11138916015625,72.77920532226562,424.47283935546875,198.4086151123047,37.3614501953125,125.62940979003906,True,,,,,,,,,False,8.23,10.97,11.88,6.4,1.37,5.48,40.838650865998176,14.14141414141414,448.0,336.0,0.9057859693254743,0.4035533042181106,-0.1800079345703125,0.008899688720703125,0.18022780298165797,0.004413167407832116,0.1323950222349635,0.4766220800458686,service_area_far,,,,,0.0,0.0,0.0,0.0,unknown,-7.584503173828125,9.778656005859375,12.375249560099325,0.30302787427296785,9.090836228189035,32.72701042148053,1.8361194474356515,2.0982834043956937,0.31333333333333335,0.7133333333333334,0.66,False,False
2024-01-01 00:00:00.266640000,8,0.26666666666666666,806.1184997558594,728.2139282226562,797.4115600585938,717.6558837890625,814.825439453125,738.77197265625,True,405.5845489501953,135.59606552124023,386.8114318847656,72.73921966552734,424.357666015625,198.45291137695312,37.546234130859375,125.71369171142578,True,,,,,,,,,False,8.23,10.97,11.88,6.4,1.37,5.48,40.838650865998176,14.14141414141414,448.0,336.0,0.905322653906686,0.403559718813215,-0.2075653076171875,0.002155303955078125,0.2075764973723096,0.005082844143246063,0.1524853242973819,0.5489471674705748,service_area_far,,,,,0.0,0.0,0.0,0.0,unknown,-16.4630126953125,23.190704345703125,28.44010469488174,0.6964016707652961,20.892050122958885,75.21138044265199,1.7993716512407576,2.1673033578055247,0.31333333333333335,0.7133333333333334,0.66,False,False
2024-01-01 00:00:00.299970000,9,0.3,,,,,,,False,405.5467224121094,135.5726203918457,386.72564697265625,72.55718231201172,424.3677978515625,198.5880584716797,37.64215087890625,126.03087615966797,True,,,,,,,,,False,8.23,10.97,11.88,6.4,1.37,5.48,40.838650865998176,14.14141414141414,448.0,336.0,0.905238219669887,0.40348994164239793,-0.0378265380859375,-0.02344512939453125,0.0445030456923253,0.0010897285965285905,0.03269185789585771,0.11769068842508777,service_area_far,,,,,0.0,0.0,0.0,0.0,unknown,,,0.0,0.0,0.0,0.0,,,0.31333333333333335,0.7133333333333334,0.66,False,False
