measurement,value,description,measurement_type
pixels_per_meter_x,40.838650865998176,Horizontal pixel-to-meter conversion factor,scale
pixels_per_meter_y,14.14141414141414,Vertical pixel-to-meter conversion factor,scale
court_width_pixels,448.0,Court width in video pixels,pixels
court_height_pixels,336.0,Court height in video pixels,pixels
