timestamp,frame_number,player_id,x1,y1,x2,y2,center_x,center_y,width,height,court_relative_x,court_relative_y,court_position_x_meters,court_position_y_meters,width_meters,height_meters,distance_pixels,distance_meters,speed_ms,speed_kmh,detailed_court_region,distance_to_center_relative,distance_to_net_meters
2024-01-01 00:00:00.499950,15,1,641.11767578125,728.36279296875,781.3106689453125,911.590576171875,711.2141723632812,819.9766845703125,140.1929931640625,183.227783203125,0.5291772115798223,1.084625244140625,5.805074011030651,25.77069580078125,1.1442835825965518,5.758587472098214,14.03393430022819,0.11454781195945182,3.4364343587835546,12.371163691620797,near_half_baseline_area_center,0.585352872857099,13.89069580078125
2024-01-01 00:00:00.533280,16,1,655.6722412109375,729.86572265625,784.0180053710938,907.489501953125,719.8451232910156,818.6776123046875,128.34576416015625,177.623779296875,0.5355990500677199,1.0829068945829199,5.875521579242887,25.729867815290177,1.0475841018131802,5.582461635044643,8.728167199834965,0.07124106709984343,2.137232012995303,7.694035246783091,near_half_baseline_area_center,0.5839929281404247,13.849867815290176
2024-01-01 00:00:00.566610,17,1,676.609375,730.0208129882812,788.708740234375,905.94287109375,732.6590576171875,817.9818420410156,112.099365234375,175.92205810546875,0.5451332273937407,1.081986563546317,5.980111504509336,25.708000749860496,0.9149777058192662,5.528978969029018,12.832809870611186,0.10474399128021183,3.1423197384063553,11.312351058262879,near_half_baseline_area_center,0.5837339876719758,13.828000749860495
2024-01-01 00:00:00.599940,18,1,701.869384765625,729.7305297851562,796.1240844726562,909.1759643554688,748.9967346191406,819.4532470703125,94.25469970703125,179.4454345703125,0.557289237067813,1.0839328664951224,6.113462930633909,25.75424490792411,0.7693259343646822,5.639713657924108,16.40380207696948,0.1338911523693119,4.016734571079357,14.460244455885684,near_half_baseline_area_center,0.5867364393465115,13.87424490792411
2024-01-01 00:00:00.633270,19,1,717.9169311523438,728.7832641601562,801.3821411132812,909.3607788085938,759.6495361328125,819.072021484375,83.4652099609375,180.5775146484375,0.5652154286702474,1.083428599847057,6.2004132525126145,25.742263532366074,0.6812599354698544,5.675293317522322,10.659620679792653,0.08700598129265283,2.6101794387795847,9.396645979606506,near_half_baseline_area_center,0.5870621630254682,13.862263532366073
2024-01-01 00:00:00.666600,20,1,732.6268920898438,725.1610717773438,811.1295166015625,911.3567504882812,771.8782043457031,818.2589111328125,78.50262451171875,186.1956787109375,0.574314140138172,1.0823530570539848,6.300226117315747,25.71670863560268,0.6407543087005615,5.851864188058036,12.255671124209384,0.10003326803019118,3.0009980409057353,10.803592947260647,near_half_baseline_area_center,0.5870755270700675,13.836708635602678
2024-01-01 00:00:00.699930,21,1,743.0650024414062,721.5516357421875,821.7029418945312,912.6683349609375,782.3839721679688,817.1099853515625,78.637939453125,191.11669921875,0.5821309316725958,1.0808333139570931,6.385976320448376,25.680599539620534,0.641858776637486,6.006524832589286,10.56840517704411,0.08626146189893891,2.587843856968167,9.316237885085402,near_half_baseline_area_center,0.586611309590761,13.800599539620533
2024-01-01 00:00:00.733260,22,1,749.9909057617188,719.6235961914062,827.830322265625,913.6036987304688,788.9106140136719,816.6136474609375,77.83941650390625,193.9801025390625,0.5869870639982677,1.0801767823557373,6.439248092060997,25.66500034877232,0.6353410707201277,6.096517508370536,6.545487383209379,0.05342559270372537,1.602767781111761,5.76996401200234,near_half_baseline_area_center,0.586661612931761,13.78500034877232
2024-01-01 00:00:00.766590,23,1,756.5344848632812,716.2305297851562,840.89111328125,912.7122192382812,798.7127990722656,814.4713745117188,84.35662841796875,196.481689453125,0.5942803564525786,1.077343087978464,6.519255510284788,25.597671770368308,0.6885358733222599,6.1751388113839285,10.033551978829479,0.08189588185101145,2.4568764555303435,8.844755239909237,near_half_baseline_area_center,0.5849904502206286,13.717671770368307
2024-01-01 00:00:00.799920,24,1,764.3346557617188,714.8475341796875,857.0598754882812,913.1322631835938,810.697265625,813.9898986816406,92.7252197265625,198.28472900390625,0.6031973702566964,1.0767062151873554,6.61707515171596,25.582539672851567,0.7568420092264811,6.231805768694197,11.994134296753492,0.09789855151442396,2.936956545432719,10.573043563557789,near_half_baseline_area_center,0.5858666707226329,13.702539672851566
