ball_center_y,time_seconds,player_1_center_y,player_2_center_y,ball_center_x,total_activity_speed,video_transition,timestamp,activity_intensity,global_frame_number,player_2_center_x,ball_trajectory_curvature,players_distance_meters,all_objects_detected,player_1_center_x
,0.0,841.0994567871094,255.10108947753903,,9.661769512220653,True,2024-01-01 00:00:00.000000000,low,0,1063.23486328125,,6.344414066321561,False,552.5601501464844
626.7539978027344,0.0333333333333333,840.7025756835938,256.029899597168,903.8377990722656,32.223839203170925,False,2024-01-01 00:00:00.033330000,high,1,1067.0365600585938,,6.3323758113624695,True,557.0856170654297
648.7124633789062,0.0666666666666666,840.2748718261719,257.1726150512696,884.7910766601562,89.30000578388189,False,2024-01-01 00:00:00.066660000,very_high,2,1065.1690673828125,,6.2683034464741665,True,565.4037933349609
658.0734252929688,0.1,838.563720703125,258.3014678955078,870.8759460449219,83.90919607205147,False,2024-01-01 00:00:00.099990000,very_high,3,1065.1619873046875,0.026979321868466324,6.1902746036192,True,576.8204193115234
669.2161387873545,0.1333333333333333,837.7472534179688,257.8337707519531,855.5072131312089,49.09658558148084,False,2024-01-01 00:00:00.133320000,high,4,1066.5338745117188,0.001635237809168634,6.14636804295676,False,586.1676330566406
681.8882159378223,0.1666666666666666,835.6782836914062,256.9642868041992,842.717600639834,52.94824206903925,False,2024-01-01 00:00:00.166649999,high,5,1069.7308349609375,0.008951498498405075,6.097175150992156,False,597.3952178955078
695.2445678710938,0.2,834.0780639648438,255.94223022460932,830.166015625,61.868261515616474,False,2024-01-01 00:00:00.199980000,very_high,6,1069.2569580078125,0.0019112506410456983,6.000448351377866,True,615.1584777832031
705.0232238769531,0.2333333333333333,832.8764038085938,255.07101440429688,822.5815124511719,88.80198586882761,False,2024-01-01 00:00:00.233310000,very_high,7,1069.396240234375,0.011310679866423064,5.931777493565316,True,628.6149597167969
728.2139282226562,0.2666666666666666,831.2738647460938,255.4038543701172,806.1184997558594,119.6209910352009,False,2024-01-01 00:00:00.266640000,very_high,8,1069.7440185546875,0.0006478946529619375,5.820014371631256,True,649.2605590820312
760.5018437978503,0.3,829.8047790527344,259.05406951904297,788.4512266004797,82.08664149533142,False,2024-01-01 00:00:00.299970000,very_high,9,1070.9591674804688,0.002443726257087491,5.722510383678334,False,663.7943725585938
769.5899047851562,0.3333333333333333,828.8278198242188,260.5427932739258,778.4598083496094,44.91201405906859,False,2024-01-01 00:00:00.333299999,high,10,1072.5874633789062,0.06576746852358752,5.679624695707814,True,671.0256652832031
727.8616027832031,0.3666666666666666,828.0968322753906,261.2435913085937,786.8362426757812,90.54095960075226,False,2024-01-01 00:00:00.366630000,very_high,11,1073.5903930664062,0.004420501521229291,5.656852144634487,True,674.8396911621094
691.2676257347549,0.4,827.0585632324219,261.6822204589844,795.7908643113014,36.136987235015916,False,2024-01-01 00:00:00.399960000,high,12,1074.1005249023438,0.0012555381479796156,5.6264701493222775,False,679.7292785644531
657.6289367675781,0.4333333333333333,825.8695068359375,261.40599060058594,804.333984375,68.50198017024852,False,2024-01-01 00:00:00.433289999,very_high,13,1074.60009765625,0.00027281002865262174,5.59764796812536,True,685.1078796386719
617.3883666992188,0.4666666666666667,824.2909545898438,260.80055236816406,811.8593444824219,157.65556971280063,False,2024-01-01 00:00:00.466620000,very_high,14,1074.8244018554688,0.0013210488150147582,5.533610356055832,True,697.8598327636719
578.7002258300781,0.5,819.9766845703125,259.8922424316406,823.6868591308594,182.2142279999453,False,2024-01-01 00:00:00.499950000,very_high,15,1075.1880493164062,0.0027910789381666366,5.452030835577272,True,711.2141723632812
561.4892578125,0.5333333333333333,818.6776123046875,259.3671188354492,827.3936157226562,140.60610069687314,False,2024-01-01 00:00:00.533280000,very_high,16,1075.6212158203125,0.011023559932294548,5.410529695415695,True,719.8451232910156
530.4321899414062,0.5666666666666667,817.9818420410156,257.8169479370117,834.4795532226562,141.11776729407728,False,2024-01-01 00:00:00.566610000,very_high,17,1076.0830078125,0.0002114410453819549,5.363037283767259,True,732.6590576171875
501.00883421766764,0.6,819.4532470703125,256.4010162353516,840.9708630598267,72.35363356845222,False,2024-01-01 00:00:00.599940000,very_high,18,1076.1400756835938,0.0002519107255215257,5.315158131480245,False,748.9967346191406
476.21060713326887,0.6333333333333333,819.072021484375,255.2177734375,846.9889030469119,59.754403961004094,False,2024-01-01 00:00:00.633270000,high,19,1076.0657958984375,0.0009687914236450809,5.277423185535697,False,759.6495361328125
455.33967773090495,0.6666666666666666,818.2589111328125,254.96326446533203,852.8638586523173,55.48844486589395,False,2024-01-01 00:00:00.666599999,high,20,1077.2889404296875,0.0019706144838395777,5.230040348418202,False,771.8782043457031
437.6894771821745,0.7,817.1099853515625,255.32522583007807,858.578380264704,50.275217648076286,False,2024-01-01 00:00:00.699930000,high,21,1078.2452392578125,0.002438878813218175,5.182426518153338,False,782.3839721679688
422.5534366586764,0.7333333333333333,816.6136474609375,255.58734893798828,864.1151182727342,41.86805944185725,False,2024-01-01 00:00:00.733260000,high,22,1078.8778076171875,0.0026822950407392526,5.154684329693536,False,788.9106140136719
408.4639892578125,0.7666666666666667,814.4713745117188,255.1148834228516,871.4512939453125,45.35121653364652,False,2024-01-01 00:00:00.766589999,high,23,1077.6278686523438,0.008240701576819831,5.101691866905056,True,798.7127990722656
396.9975603737712,0.8,813.9898986816406,254.4705581665039,874.585845030371,50.73956854202203,False,2024-01-01 00:00:00.799920000,high,24,1075.2907104492188,0.023787269793699252,5.05181371118783,False,810.697265625
