,timestamp,frame_number,video_name,x1,y1,x2,y2,center_x,center_y,prev_x,prev_y,distance_pixels,distance_meters,speed_ms,speed_kmh,video_sequence,global_frame_number,court_relative_x,court_relative_y,court_position_x_meters,court_position_y_meters,estimated_height_meters,distance_to_net_meters,court_region
1317,2024-01-01 00:00:06.166050,185,input_video_11.mp4,1280.1461181640625,608.9322509765625,1298.3028564453125,627.866455078125,1289.2244873046875,618.3993530273438,,,132.33423655280913,1.0801388206728544,32.40416462018563,116.65499263266828,3,1317,0.9592444101969401,0.8179885622054811,10.522911179860433,19.435408238002232,1.1359771244109622,7.555408238002231,near_court
1318,2024-01-01 00:00:06.199380,186,input_video_11.mp4,1270.389404296875,559.7135009765625,1287.1651611328125,578.2666625976562,1278.7772827148438,568.9900817871094,1289.2244873046875,618.3993530273438,50.50168480588647,0.41220497196471323,12.366149158941397,44.51813697218903,3,1318,0.9514711924961635,0.7526323833162822,10.437638981682914,17.882545427594867,1.0052647666325645,6.002545427594866,near_court
1319,2024-01-01 00:00:06.232710,187,input_video_11.mp4,1269.177001953125,540.05419921875,1286.57568359375,557.1505737304688,1277.8763427734375,548.6023864746094,1278.7772827148438,568.9900817871094,20.407592041526005,0.16657089635084843,4.997126890525453,17.98965680589163,3,1319,0.9508008502778553,0.7256645323738219,10.430285327548074,17.24178928920201,0.9513290647476438,5.36178928920201,near_court
1327,2024-01-01 00:00:06.499350,195,input_video_11.mp4,1226.260498046875,370.8285827636719,1240.02197265625,386.6401062011719,1233.1412353515625,378.7343444824219,,,175.65984608414718,1.4337712139457548,43.013136418372646,154.84729110614154,3,1327,0.9175158001127697,0.5009713551354786,10.065148327237084,11.903079398018972,0.5019427102709573,0.02307939801897163,net_area
1331,2024-01-01 00:00:06.632670,199,input_video_11.mp4,1209.8643798828125,346.052490234375,1225.644775390625,362.375244140625,1217.7545776367188,354.2138671875,,,28.948282201273013,0.23628173790771204,7.088452137231361,25.518427694032898,3,1331,0.9060673940749395,0.468536861359127,9.939559313002087,11.132435825892857,1.562926277281746,0.7475641741071435,net_area
1339,2024-01-01 00:00:06.899310,207,input_video_11.mp4,1186.144775390625,272.2927551269531,1202.790283203125,289.92169189453125,1194.467529296875,281.1072235107422,,,76.72592762595089,0.6262525491493164,18.78757647447949,67.63527530812617,3,1339,0.888740721203032,0.37183495173378595,9.749485711597263,8.834798453194754,1.756330096532428,3.045201546805247,far_service_area
1340,2024-01-01 00:00:06.932640,208,input_video_11.mp4,1185.1131591796875,261.9133605957031,1202.0035400390625,279.95758056640625,1193.558349609375,270.9354705810547,1194.467529296875,281.1072235107422,10.21230460605092,0.08335489697051979,2.5006469091155936,9.002328872816138,3,1340,0.8880642482212612,0.35838025209134217,9.742064802987235,8.51511478969029,1.7832394958173157,3.36488521030971,far_service_area
1341,2024-01-01 00:00:06.965970,209,input_video_11.mp4,1185.0655517578125,248.47329711914062,1198.98193359375,265.60711669921875,1192.0237426757812,257.0402069091797,1193.558349609375,270.9354705810547,13.97974860115743,0.1141055373174829,3.423166119524487,12.323398030288153,3,1341,0.8869224275861468,0.3400002736893911,9.729539030620032,8.078406502859934,1.8199994526212178,3.8015934971400664,far_court
1342,2024-01-01 00:00:06.999300,210,input_video_11.mp4,1185.1158447265625,233.993408203125,1195.525634765625,244.39279174804688,1190.3207397460938,239.19309997558594,1192.0237426757812,257.0402069091797,17.92817461086472,0.14633338949493005,4.390001684847902,15.804006065452446,3,1342,0.8856553123110816,0.3163929893856957,9.715638776052566,7.51749742780413,1.8672140212286086,4.36250257219587,far_court
1343,2024-01-01 00:00:07.032630,211,input_video_11.mp4,1184.2364501953125,226.54934692382812,1196.43310546875,241.98033142089844,1190.3347778320312,234.26483917236328,1190.3207397460938,239.19309997558594,4.9282807968334765,0.0402256252539161,1.2067687576174828,4.344367527422938,3,1343,0.8856657573154995,0.3098741258893694,9.71575335775103,7.362609231131418,1.8802517482212613,4.517390768868583,far_court
