video_name,video_sequence,total_frames,duration_seconds,resolution,processing_time_seconds,detection_method,ball_detection_rate,ball_avg_speed_kmh,ball_max_speed_kmh,ball_total_distance_meters,unique_players_count,unique_players,player_1_detection_rate,player_1_avg_speed_kmh,player_1_max_speed_kmh,player_1_total_distance_meters,player_2_detection_rate,player_2_avg_speed_kmh,player_2_max_speed_kmh,player_2_total_distance_meters,player_3_detection_rate,player_3_avg_speed_kmh,player_3_max_speed_kmh,player_3_total_distance_meters,player_4_detection_rate,player_4_avg_speed_kmh,player_4_max_speed_kmh,player_4_total_distance_meters,player_5_detection_rate,player_5_avg_speed_kmh,player_5_max_speed_kmh,player_5_total_distance_meters
input_video.mp4,1,214,7.133333333333334,1920x1080,1.182921,stub,0.4392523364485981,15.473326289991288,44.51813697218903,8.023206224439924,2,"[1, 2]",1.0,6.3104284162791,21.164520850849218,12.445567154328225,1.0,4.15202213058997,15.570722203825735,8.188710313107997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input_video_10.mp4,2,918,30.6,848x400,0.984827,stub,0.4411764705882353,35.09033538466539,100.79578182382424,78.30343358985519,6,"[1, 2, 3, 4, 5, 9]",1.0,19.496289583864893,1206.9177730417082,165.53794026300102,1.0,9.573527954850459,120.83677873912771,81.28634383886916,1.0,0.0626325099849457,0.4798891379427506,0.5317964042240297,1.0,0.20754826035528023,1.8579534035678387,1.7622384698684441,1.0,0.09668914869964647,1.1333993524043193,0.8209624940516279
input_video_11.mp4,3,1076,35.86666666666667,848x448,1.097382,stub,0.4395910780669145,35.10990845084408,100.79578182382424,91.67587206609288,6,"[1, 2, 3, 4, 5, 9]",1.0,19.852373187156452,1206.9177730417082,197.60464052030727,1.0,9.897656051136366,120.83677873912771,98.51833569418142,1.0,0.06174325777511444,0.4798891379427506,0.6145740935948891,1.0,0.20745417733845264,1.8579534035678387,2.064937413322561,1.0,0.09661087021351691,1.1333993524043193,0.961635976662321
input_video_12.mp4,4,929,30.966666666666665,1920x1080,4.930867,stub,0.4413347685683531,15.452195746469494,44.51813697218903,34.76744042955636,2,"[1, 2]",1.0,8.576131516072639,533.0553497600878,73.69120413810566,1.0,4.189185081106992,53.36957727644806,35.99596069691934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input_video_13.mp4,5,93,3.1,1920x1080,0.516138,stub,0.46236559139784944,18.739996891474377,39.442745416131146,4.337962243396847,2,"[1, 2]",1.0,6.55166017028738,21.164520850849218,5.5810438487633265,1.0,2.0050690060466225,6.711909050895297,1.7080217458915672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input_video_14.mp4,6,125,4.166666666666667,1920x1080,0.682541,stub,0.488,15.87839944346485,39.442745416131146,5.292799814488282,2,"[1, 2]",1.0,6.289376031395925,21.164520850849218,7.221135443454581,1.0,2.8493847520094397,13.644061759002216,3.2715158263812083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input_video_15.mp4,7,123,4.1,1920x1080,0.671081,stub,0.4796747967479675,16.227617130081413,39.442745416131146,5.108694281692295,2,"[1, 2]",1.0,6.261491527104615,21.164520850849218,7.073166354692252,1.0,2.7162579757429652,12.620833074222613,3.0683654911170533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input_video_16.mp4,8,107,3.566666666666667,1920x1080,0.58842,stub,0.45794392523364486,18.360525198322502,39.442745416131146,4.930141025475486,2,"[1, 2]",1.0,6.277503687502538,21.164520850849218,6.161253619215455,1.0,1.9240679081590242,6.711909050895297,1.888437020970894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input_video_18.mp4,9,168,5.6,1920x1080,0.869488,stub,0.47023809523809523,15.496016699272886,39.442745416131146,6.88711853301017,2,"[1, 2]",1.0,6.801577707296351,21.164520850849218,10.517254417763802,1.0,3.6846412938650204,15.570722203825735,5.697547185883874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input_video_19.mp4,10,485,16.166666666666668,1920x1080,2.734536,stub,0.44536082474226807,15.51985455625634,44.51813697218903,18.53760405330618,2,"[1, 2]",1.0,8.517552412716961,533.0553497600878,38.171253405138984,1.0,4.111655223448226,53.36957727644806,18.426306742119827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input_video_2.mp4,11,799,26.633333333333333,848x448,0.705471,stub,0.4455569461827284,34.64435463986609,100.79578182382424,68.00558503381122,6,"[1, 2, 3, 4, 5, 9]",1.0,18.98661152745599,1206.9177730417082,140.2899629528693,1.0,9.55815430421589,120.83677873912771,70.62414013670629,1.0,0.06100007277160387,0.4798891379427506,0.4507227599235174,1.0,0.20555886596667974,1.8579534035678387,1.5188516207538,1.0,0.09718181442551714,1.1333993524043193,0.7180656288107655
input_video_20.mp4,12,498,16.6,1920x1080,2.7703189999999998,stub,0.4457831325301205,15.43412993826766,44.51813697218903,18.72102798067651,2,"[1, 2]",1.0,8.384728201740423,533.0553497600878,38.58527700245361,1.0,4.0426110974081295,53.36957727644806,18.603497364924447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input_video_21.mp4,13,366,12.2,1920x1080,2.085029,stub,0.45901639344262296,15.108538616337706,44.51813697218903,13.989387607720097,2,"[1, 2]",1.0,7.914455142427408,533.0553497600878,26.74792710172226,1.0,4.039518167844271,53.36957727644806,13.652075289473691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input_video_22.mp4,14,303,10.1,1920x1080,1.7264140000000001,stub,0.44554455445544555,16.481557957115697,44.51813697218903,12.361168467836773,2,"[1, 2]",1.0,8.167567578309162,533.0553497600878,22.83893896897562,1.0,3.7079947272654037,53.36957727644806,10.368651922538444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input_video_23.mp4,15,271,9.033333333333333,1920x1080,1.554824,stub,0.45018450184501846,15.555547472843232,44.51813697218903,10.514397828866258,2,"[1, 2]",1.0,8.315995427138791,533.0553497600878,20.789988567846983,1.0,3.897373470580851,53.36957727644806,9.743433676452128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input_video_24.mp4,16,491,16.366666666666667,1920x1080,2.739683,stub,0.4439918533604888,15.490074582870456,44.51813697218903,18.645460146047768,2,"[1, 2]",1.0,8.464683097953294,533.0553497600878,38.4045807221955,1.0,4.087529817305782,53.36957727644806,18.545274171109565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input_video_25.mp4,17,421,14.033333333333333,1920x1080,2.405641,stub,0.42992874109263657,15.78134780738388,44.51813697218903,15.489100625765655,2,"[1, 2]",1.0,7.578656277840983,533.0553497600878,29.47255219160382,1.0,4.18349815453882,53.36957727644806,16.26915948987319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input_video_26.mp4,18,243,8.1,1920x1080,1.721727,stub,0.448559670781893,16.85788033814552,44.51813697218903,10.145946499809803,2,"[1, 2]",1.0,8.856259969541506,533.0553497600878,19.84458252434301,1.0,4.080747447065495,53.36957727644806,9.143897057313428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input_video_27.mp4,19,362,12.066666666666666,1920x1080,2.187882,stub,0.4558011049723757,15.131637653842851,44.51813697218903,13.730560093301849,2,"[1, 2]",1.0,7.907025246346034,533.0553497600878,26.429964017878874,1.0,4.062058994883299,53.36957727644806,13.577808306971027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input_video_28.mp4,20,336,11.2,1920x1080,1.99085,stub,0.4523809523809524,15.758280607358667,44.51813697218903,13.131900506132222,2,"[1, 2]",1.0,7.865950280112208,533.0553497600878,24.399012442940645,1.0,3.76073060458708,53.36957727644806,11.665229190154367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input_video_29.mp4,21,418,13.933333333333334,1920x1080,2.383912,stub,0.43301435406698563,15.78134780738388,44.51813697218903,15.489100625765655,2,"[1, 2]",1.0,7.591652068194641,533.0553497600878,29.312212152195972,1.0,4.1526761067781255,53.36957727644806,16.03394385672665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input_video_3.mp4,22,907,30.233333333333334,848x448,0.818461,stub,0.43991179713340683,35.42241881649827,100.79578182382424,77.73253018064898,6,"[1, 2, 3, 4, 5, 9]",1.0,19.6729330325472,1206.9177730417082,165.0340493285904,1.0,9.603392077932545,120.83677873912771,80.56178909821189,1.0,0.06272517715649967,0.4798891379427506,0.5261945417017473,1.0,0.20850596906893598,1.8579534035678387,1.7491334071894074,1.0,0.09715641046425613,1.1333993524043193,0.8150343322279263
input_video_30.mp4,23,436,14.533333333333333,1920x1080,2.5489129999999998,stub,0.4426605504587156,15.515906820068878,44.51813697218903,16.52156744729556,2,"[1, 2]",1.0,8.78584579004717,533.0553497600878,35.38743443213444,1.0,4.339872587095933,53.36957727644806,17.480042364691958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input_video_4.mp4,24,740,24.666666666666668,848x448,0.656735,stub,0.4445945945945946,35.96488891770614,100.79578182382424,65.26961322102224,6,"[1, 2, 3, 4, 5, 9]",1.0,19.18023086323589,1206.9177730417082,131.24250562899374,1.0,9.20563980475035,120.83677873912771,62.99044273806025,1.0,0.06189996598955009,0.4798891379427506,0.42355624876182885,1.0,0.21017962777211918,1.8579534035678387,1.4381735641073712,1.0,0.09461197431567249,1.1333993524043193,0.6473911946229811
input_video_5.mp4,25,679,22.633333333333333,848x400,0.611749,stub,0.4418262150220913,35.91000620335184,100.79578182382424,59.517510281481286,6,"[1, 2, 3, 4, 5, 9]",1.0,19.83488988746485,1206.9177730417082,124.51903096019602,1.0,9.624374759346006,120.83677873912771,60.4196859892277,1.0,0.06346200050173646,0.4798891379427506,0.3984003364831234,1.0,0.20894181037206003,1.8579534035678387,1.311690254002377,1.0,0.09773564238768798,1.1333993524043193,0.6135626438782633
input_video_6.mp4,26,1072,35.733333333333334,848x400,0.836707,stub,0.439365671641791,35.033946316961405,100.79578182382424,90.82874971064068,6,"[1, 2, 3, 4, 5, 9]",1.0,19.850721640138527,1206.9177730417082,196.85298959804038,1.0,9.919562998466782,120.83677873912771,98.36899973479558,1.0,0.06166514850848875,0.4798891379427506,0.6115127227091801,1.0,0.20644511642407307,1.8579534035678387,2.047247404538725,1.0,0.09599576997118611,1.1333993524043193,0.9519580522142622
input_video_7.mp4,27,963,32.1,848x400,0.763508,stub,0.44132917964693663,35.783252917080176,100.79578182382424,83.82558322241931,6,"[1, 2, 3, 4, 5, 9]",1.0,19.238508925396186,1206.9177730417082,171.36523690954746,1.0,9.308325491625082,120.83677873912771,82.91304743466046,1.0,0.06159211633581586,0.4798891379427506,0.548626073287545,1.0,0.20820365635220944,1.8579534035678387,1.854554790840977,1.0,0.09452618186877132,1.1333993524043193,0.8419832125718334
input_video_8.mp4,28,539,17.966666666666665,848x400,0.44425,stub,0.4452690166975881,36.31209281188866,100.79578182382424,47.743677586001766,6,"[1, 2, 3, 4, 5, 9]",1.0,18.68280639486342,1206.9177730417082,93.06805407811592,1.0,8.884779883425606,120.83677873912771,44.259366456323846,1.0,0.06127756652459463,0.4798891379427506,0.3052530628725178,1.0,0.20920701209831066,1.8579534035678387,1.042160856563807,1.0,0.09304344540147139,1.1333993524043193,0.463494200240663
input_video_9.mp4,29,430,14.333333333333334,848x400,0.376033,stub,0.43953488372093025,35.0339463169614,100.79578182382424,36.331499884256274,6,"[1, 2, 3, 4, 5, 9]",1.0,19.835639512040732,1206.9177730417082,78.79156806171734,1.0,9.916613875568887,120.83677873912771,39.39099400573196,1.0,0.061755069419434185,0.4798891379427506,0.24530485908275243,1.0,0.20747611900323176,1.8579534035678387,0.8241412504850594,1.0,0.09602122761480418,1.1333993524043193,0.38141765413658324
